sta,lat,lon
ICIPE-Mbita,-0.431525,34.206062
IER_Cinzana,13.278433,-5.933867
IHOP-Homestead,36.558333,-100.606183
IIT_KGP_EXT_Kolkata,22.574,88.418
Ilorin,8.4841,4.6745
IMAA_Potenza,40.601254,15.7237
IMC_Oristano,39.91,8.5
IMPROVE-MammothCave,37.1318,-86.1479
IMS-METU-ERDEMLI,36.565,34.255
Inhaca,-26.040583,32.905
Inner_Mongolia,42.68319,115.9537
Iqaluit,63.747575,-68.542997
Irbe_Lighthouse,57.75092,21.72297
Irkutsk,51.799797,103.086644
ISDGM_CNR,45.436981,12.331982
Ispra,45.80305,8.6267
Issyk-Kul,42.622778,76.983056
Itajuba,-22.41325,-45.452389
Izana,28.30932,-16.49906
Jabal_Hafeet,24.058217,55.776383
Jabiru,-12.6607,132.8931
Jaipur,26.905817,75.806217
Jambi,-1.632445,103.641563
Jaru_Reserve,-10.083333,-61.933333
Ji_Parana,-10.86,-61.799999
Ji_Parana_SE,-10.93425,-61.851517
Ji_Parana_UNIR,-10.882212,-61.9686
Jingtai,37.333333,104.1
Joberg,-26.186133,28.029167
Kaashidhoo,4.965,73.466
Kaiping,22.3152,112.5386
Kandahar,31.508611,65.847778
Kanpur,26.512778,80.231639
KAUST_Campus,22.304833,39.102833
KEMPTEN_UAS,47.715833,10.314133
KITcube_Masada,31.322547,35.372297
KITcube_Save,8.000928,2.427925
KONZA_EDC,39.102328,-96.6096
KORUS_Baeksa,37.41156,127.5691
KORUS_Daegwallyeong,37.68712,128.75872
KORUS_Iksan,35.9622,127.0052
KORUS_Kyungpook_NU,35.889989,128.606416
KORUS_Olympic_Park,37.52165,127.12418
KORUS_Songchon,37.33849,127.48946
KORUS_Taehwa,37.31248,127.31033
KORUS_UNIST_Ulsan,35.5819,129.1897
Kuching,1.490556,110.348611
Kuopio,62.892414,27.633606
Kuujjuarapik,55.28,-77.76
Kuwait_Airport,29.242,47.972
Kuwait_University,29.325,47.971
Kyiv,50.363611,30.496667
Kyiv-AO,50.4523,30.498
Kyungil_University,36.071667,128.82361
La_Crau,43.5765,4.819
La_Jolla,32.86846,-117.25113
La_Laguna,28.481944,-16.321111
La_Parguera,17.97045,-67.045383
Laegeren,47.478349,8.364352
Lahore,31.47987,74.26406
Lake_Argyle,-16.1081,128.7485
Lake_Erie,41.8256,-83.1936
Lamezia_Terme,38.8764,16.2321
Lampedusa,35.516667,12.631667
LAMTO-STATION,6.223517,-5.026617
Lannion,48.730833,-3.461944
Lanzhou_City,36.04805,103.8534
LAQUILA_Coppito,42.368386,13.350636
Le_Fauga,43.38423,1.2846
Lecce_University,40.335111,18.111389
Leipzig,51.3525,12.435278
Leland_HS,33.402128,-90.89285
Lerwick_MO,60.139372,-1.185113
Liangning,41.5118,122.7013
Lille,50.611667,3.141667
LISCO,40.954517,-73.341767
Lochiel,49.028,-122.602
Loftus_MO,54.5627,-0.861733
London-UCL-UAO,51.52427,-0.131101
Los_Alamos,35.873583,-106.326067
Los_Fieros,-14.55,-60.616667
LOS_FIEROS_98,-14.556,-60.929
LSU,30.406778,-91.183883
Luang_Namtha,20.9311,101.4162
Lubango,-14.958,13.445
Lucinda,-18.5198,146.3861
Lugansk,48.5704,39.36472
Lulin,23.468611,120.873611
Lumbini,27.49,83.28
Lunar_Lake,38.390083,-115.988383
MAARCO,24.700333,54.658833
Madrid,40.4519,-3.72395
Maeson,19.83046,99.17069
Magurele_Inoe,44.348292,26.030703
Mainz,49.999,8.3
Majadas,39.955031,-5.775914
Makassar,-4.99768,119.57227
Malaga,36.715242,-4.478153
MALE,4.191667,73.529167
Manaus_EMBRAPA,-2.890528,-59.969778
Mandalay_MTU,21.972896,96.186136
Manila_Observatory,14.63525,121.07784
Marbella_San_Pedro,36.486309,-4.993439
Maricopa,33.069023,-111.972298
Marseille,43.2824,5.383817
Martova,49.936,36.953
Masdar_Institute,24.4416,54.6166
Maun_Tower,-19.9,23.55
MCO-Hanimaadhoo,6.77635,73.183183
MD_Science_Center,39.28123,-76.612052
Medellin,6.260672,-75.577914
Medenine-IRA,33.499633,10.642547
Messina,38.1975,15.566833
MetObs_Lindenberg,52.209275,14.12087
Mexico_City,19.333611,-99.181667
Mezaira,23.10452,53.75466
Miami,25.72292,-80.27972
Midway_Island,28.209833,-177.378333
Mingo,36.9717,-90.1432
Minqin,38.607,102.959
Minsk,53.92,27.601
Misamfu,-10.1712,31.2241
MISR-JPL,34.199,-118.17439
Missoula,46.916668,-114.083336
Modena,44.631667,10.945278
Modesto,37.64217,-120.99422
Moldova,47.0008,28.8156
Mongu,-15.253611,23.150833
Mongu_Inn,-15.266667,23.134333
Monterey,36.59255,-121.854867
